start,end,duration (mins)
Astor Pl,Canal St,11.481666666666666
Astor Pl,Bergen St,37.480000000000004
Astor Pl,Freeman St,71.73
Astor Pl,Junction Blvd,64.29166666666667
Astor Pl,Chauncey St,49.0
Astor Pl,Union St,43.285
Astor Pl,Pelham Pkwy,86.27833333333334
Astor Pl,Gun Hill Rd,94.22166666666666
Astor Pl,Simpson St,68.17
Astor Pl,Bronx Park East,79.18166666666666
Astor Pl,Winthrop St,54.47666666666667
Astor Pl,Kingsbridge Rd,84.54333333333334
Astor Pl,Prospect Park,54.47166666666667
Astor Pl,Broadway,43.80166666666666
Astor Pl,Lorimer St,27.59333333333333
Astor Pl,Halsey St,45.336666666666666
Astor Pl,Park Pl,16.828333333333333
Astor Pl,Middletown Rd,79.28166666666667
Astor Pl,Court Sq,33.736666666666665
Astor Pl,Houston St,7.956666666666666
Astor Pl,Broad Channel,97.71000000000001
Astor Pl,Ocean Pkwy,81.025
Astor Pl,Rockaway Blvd,75.05333333333333
Astor Pl,Beverly Rd,57.825
Astor Pl,Grand Army Plaza,40.111666666666665
Astor Pl,Fulton St,17.52
Astor Pl,Borough Hall,39.03666666666666
Astor Pl,Aqueduct Racetrack,83.21166666666666
Astor Pl,Morris Park,84.03
Astor Pl,Nevins St,39.598333333333336
Astor Pl,Sterling St,49.35666666666667
Astor Pl,Hewes St,24.938333333333333
Astor Pl,Grand St,9.266666666666667
Astor Pl,Parsons Blvd,87.08833333333334
Astor Pl,Pelham Bay Park,85.25333333333333
Astor Pl,Woodhaven Blvd,66.40166666666667
Astor Pl,Cleveland St,61.68833333333334
Astor Pl,Junius St,61.68333333333333
Astor Pl,Broadway Junction,53.218333333333334
Astor Pl,Crescent St,60.263333333333335
Astor Pl,Cypress Hills,58.625
Astor Pl,Northern Blvd,49.730000000000004
Astor Pl,Sutphin Blvd,81.49833333333332
Astor Pl,Astoria Blvd,44.38
Astor Pl,Fordham Rd,81.635
Astor Pl,Bedford Park Blvd,87.53
Astor Pl,Mosholu Pkwy,90.88833333333334
Astor Pl,Botanic Garden,46.745
Astor Pl,Dyckman St,77.24833333333332
Astor Pl,Steinway St,46.93
Astor Pl,Kosciuszko St,39.138333333333335
Astor Pl,Jefferson St,36.24666666666667
Astor Pl,Kings Hwy,66.93666666666667
Astor Pl,Brighton Beach,83.21000000000001
Astor Pl,Sheepshead Bay,82.70166666666667
Astor Pl,Neck Rd,77.11999999999999
Astor Pl,Chambers St,17.101666666666667
Astor Pl,East Broadway,11.841666666666667
Astor Pl,Court St,35.31166666666666
Astor Pl,Carroll St,40.63166666666667
Astor Pl,Spring St,7.930000000000001
Astor Pl,Prince St,4.778333333333333
Astor Pl,Hoyt St,38.751666666666665
Astor Pl,City Hall,15.195
Astor Pl,South Ferry,71.69166666666666
Astor Pl,Bowling Green,22.87
Astor Pl,Wall St,18.64333333333333
Astor Pl,Whitehall St,20.005
Astor Pl,Rector St,20.46833333333333
Astor Pl,Fresh Pond Rd,49.61833333333333
Astor Pl,Broad St,23.256666666666668
Astor Pl,Bowery,8.163333333333334
Astor Pl,Clark St,31.90666666666667
Astor Pl,York St,33.44833333333334
Astor Pl,High St,37.29666666666667
Astor Pl,President St,45.961666666666666
Astor Pl,Woodlawn,94.55
Astor Pl,Bleecker St,4.2716666666666665
Astor Pl,Cortelyou Rd,59.64333333333333
Astor Pl,Parkchester,70.44666666666667
Astor Pl,Franklin St,12.443333333333333
Canal St,Astor Pl,10.641666666666667
Canal St,Bergen St,39.9
Canal St,Freeman St,82.29333333333334
Canal St,Junction Blvd,63.97833333333333
Canal St,Chauncey St,47.98166666666667
Canal St,Union St,42.266666666666666
Canal St,Pelham Pkwy,96.84166666666667
Canal St,Gun Hill Rd,104.78500000000001
Canal St,Simpson St,78.73333333333333
Canal St,Bronx Park East,89.74499999999999
Canal St,Winthrop St,53.458333333333336
Canal St,Kingsbridge Rd,95.10666666666665
Canal St,Prospect Park,53.45333333333333
Canal St,Broadway,53.184999999999995
Canal St,Lorimer St,26.575
Canal St,Halsey St,44.318333333333335
Canal St,Park Pl,7.2733333333333325
Canal St,Middletown Rd,89.845
Canal St,Court Sq,44.3
Canal St,Houston St,11.493333333333334
Canal St,Broad Channel,100.23333333333333
Canal St,Ocean Pkwy,83.515
Canal St,Rockaway Blvd,74.03500000000001
Canal St,Beverly Rd,56.806666666666665
Canal St,Grand Army Plaza,39.093333333333334
Canal St,Fulton St,7.965
Canal St,Borough Hall,41.22
Canal St,Aqueduct Racetrack,82.19333333333334
Canal St,Morris Park,94.59333333333333
Canal St,Nevins St,38.580000000000005
Canal St,Sterling St,48.33833333333334
Canal St,Hewes St,23.92
Canal St,Grand St,5.661666666666666
Canal St,Parsons Blvd,86.07
Canal St,Pelham Bay Park,95.81666666666666
Canal St,Woodhaven Blvd,65.38333333333334
Canal St,Cleveland St,60.669999999999995
Canal St,Junius St,60.665
Canal St,Broadway Junction,52.2
Canal St,Crescent St,59.245
Canal St,Cypress Hills,57.60666666666667
Canal St,Northern Blvd,51.85666666666667
Canal St,Sutphin Blvd,80.48
Canal St,Astoria Blvd,54.943333333333335
Canal St,Fordham Rd,92.19833333333332
Canal St,Bedford Park Blvd,98.09333333333333
Canal St,Mosholu Pkwy,101.45166666666667
Canal St,Botanic Garden,45.72666666666667
Canal St,Dyckman St,79.93833333333333
Canal St,Steinway St,51.336666666666666
Canal St,Kosciuszko St,38.12
Canal St,Jefferson St,35.22833333333333
Canal St,Kings Hwy,69.42666666666668
Canal St,Brighton Beach,85.7
Canal St,Sheepshead Bay,85.19166666666666
Canal St,Neck Rd,79.61
Canal St,Chambers St,7.546666666666667
Canal St,East Broadway,9.138333333333332
Canal St,Court St,37.495
Canal St,Carroll St,43.05166666666666
Canal St,Spring St,4.926666666666667
Canal St,Prince St,6.9366666666666665
Canal St,Hoyt St,37.208333333333336
Canal St,City Hall,5.64
Canal St,South Ferry,65.29833333333333
Canal St,Bowling Green,13.315
Canal St,Wall St,10.406666666666666
Canal St,Whitehall St,11.768333333333334
Canal St,Rector St,10.913333333333332
Canal St,Fresh Pond Rd,48.6
Canal St,Broad St,13.701666666666666
Canal St,Bowery,6.641666666666667
Canal St,Clark St,34.09
Canal St,York St,35.63166666666667
Canal St,High St,39.480000000000004
Canal St,President St,44.943333333333335
Canal St,Woodlawn,105.11333333333333
Canal St,Bleecker St,6.738333333333333
Canal St,Cortelyou Rd,58.625
Canal St,Parkchester,81.01
Canal St,Franklin St,5.471666666666667
Bergen St,Astor Pl,40.50333333333333
Bergen St,Canal St,41.03
Bergen St,Freeman St,84.17166666666667
Bergen St,Junction Blvd,64.65333333333334
Bergen St,Chauncey St,32.64666666666667
Bergen St,Union St,7.569999999999999
Bergen St,Pelham Pkwy,98.72
Bergen St,Gun Hill Rd,106.66333333333334
Bergen St,Simpson St,80.61166666666666
Bergen St,Bronx Park East,91.62333333333332
Bergen St,Winthrop St,27.728333333333335
Bergen St,Kingsbridge Rd,99.61333333333333
Bergen St,Prospect Park,25.84333333333333
Bergen St,Broadway,54.74666666666667
Bergen St,Lorimer St,24.634999999999998
Bergen St,Halsey St,36.885
Bergen St,Park Pl,36.875
Bergen St,Middletown Rd,91.72333333333333
Bergen St,Court Sq,44.49
Bergen St,Houston St,43.13
Bergen St,Broad Channel,89.01666666666667
Bergen St,Ocean Pkwy,60.473333333333336
Bergen St,Rockaway Blvd,58.88666666666666
Bergen St,Beverly Rd,31.076666666666664
Bergen St,Grand Army Plaza,10.393333333333334
Bergen St,Fulton St,39.43
Bergen St,Borough Hall,6.236666666666666
Bergen St,Aqueduct Racetrack,65.36833333333333
Bergen St,Morris Park,96.47166666666666
Bergen St,Nevins St,6.9366666666666665
Bergen St,Sterling St,22.608333333333334
Bergen St,Hewes St,22.766666666666666
Bergen St,Grand St,36.06166666666666
Bergen St,Parsons Blvd,81.31833333333334
Bergen St,Pelham Bay Park,97.695
Bergen St,Woodhaven Blvd,57.86666666666667
Bergen St,Cleveland St,42.31666666666667
Bergen St,Junius St,37.325
Bergen St,Broadway Junction,34.00333333333334
Bergen St,Crescent St,46.401666666666664
Bergen St,Cypress Hills,49.48166666666667
Bergen St,Northern Blvd,54.141666666666666
Bergen St,Sutphin Blvd,80.015
Bergen St,Astoria Blvd,56.82166666666667
Bergen St,Fordham Rd,96.705
Bergen St,Bedford Park Blvd,102.6
Bergen St,Mosholu Pkwy,105.95833333333333
Bergen St,Botanic Garden,17.246666666666666
Bergen St,Dyckman St,96.18666666666667
Bergen St,Steinway St,52.89833333333333
Bergen St,Kosciuszko St,25.756666666666668
Bergen St,Jefferson St,32.34166666666667
Bergen St,Kings Hwy,50.775
Bergen St,Brighton Beach,62.65833333333333
Bergen St,Sheepshead Bay,56.22166666666667
Bergen St,Neck Rd,50.965
Bergen St,Chambers St,43.95166666666667
Bergen St,East Broadway,34.096666666666664
Bergen St,Court St,6.17
Bergen St,Carroll St,5.963333333333334
Bergen St,Spring St,39.595
Bergen St,Prince St,38.57333333333334
Bergen St,Hoyt St,6.241666666666666
Bergen St,City Hall,38.25
Bergen St,South Ferry,80.99499999999999
Bergen St,Bowling Green,32.556666666666665
Bergen St,Wall St,32.735
Bergen St,Whitehall St,30.16
Bergen St,Rector St,37.93833333333334
Bergen St,Fresh Pond Rd,42.913333333333334
Bergen St,Broad St,40.72666666666667
